"","X1.1","Genus","value","Type"
"768",NA,"Ruminiclostridium 5","NA","PC04925-MSA1000_Diff"
"769",NA,"Ruminiclostridium 9","NA","PC04925-MSA1000_Diff"
"770",NA,"Ruminococcaceae NK4A214 group","NA","PC04925-MSA1000_Diff"
"771",NA,"Ruminococcaceae UCG-002","NA","PC04925-MSA1000_Diff"
"772",NA,"Ruminococcaceae UCG-003","NA","PC04925-MSA1000_Diff"
"773",NA,"Ruminococcaceae UCG-004","NA","PC04925-MSA1000_Diff"
"774",NA,"Ruminococcaceae UCG-005","NA","PC04925-MSA1000_Diff"
"775",NA,"Ruminococcaceae UCG-013","NA","PC04925-MSA1000_Diff"
"776",NA,"Ruminococcaceae UCG-014","NA","PC04925-MSA1000_Diff"
"777",NA,"Ruminococcus 1","NA","PC04925-MSA1000_Diff"
"778",NA,"Ruminococcus 2","NA","PC04925-MSA1000_Diff"
"779",NA,"Sellimonas","NA","PC04925-MSA1000_Diff"
"780",NA,"Serratia","NA","PC04925-MSA1000_Diff"
"781",NA,"Succiniclasticum","NA","PC04925-MSA1000_Diff"
"782",NA,"Tyzzerella","NA","PC04925-MSA1000_Diff"
"783",NA,"Tyzzerella 3","NA","PC04925-MSA1000_Diff"
"784",NA,"Acinetobacter","NA","PC04925-MSA1001_Diff"
"785",NA,"Actinomyces","NA","PC04925-MSA1001_Diff"
"786",NA,"Alistipes","NA","PC04925-MSA1001_Diff"
"787",NA,"Anaerostipes","NA","PC04925-MSA1001_Diff"
"788",NA,"Bacillus","-99.873390181142","PC04925-MSA1001_Diff"
"789",NA,"Bacteroides","NA","PC04925-MSA1001_Diff"
"790",NA,"Bifidobacterium","NA","PC04925-MSA1001_Diff"
"791",NA,"Bilophila","NA","PC04925-MSA1001_Diff"
"792",NA,"Clostridium","NA","PC04925-MSA1001_Diff"
"793",NA,"Lachnoclostridium","NA","PC04925-MSA1001_Diff"
"794",NA,"Collinsella","NA","PC04925-MSA1001_Diff"
"795",NA,"Coprobacillus","NA","PC04925-MSA1001_Diff"
"796",NA,"Cryptococcus",NA,"PC04925-MSA1001_Diff"
"797",NA,"Deinococcus","NA","PC04925-MSA1001_Diff"
"798",NA,"Enterococcus","-99.5896579278009","PC04925-MSA1001_Diff"
"799",NA,"Escherichia-Shigella","-32.8870302751306","PC04925-MSA1001_Diff"
"800",NA,"Fusobacterium","NA","PC04925-MSA1001_Diff"
"801",NA,"Helicobacter","NA","PC04925-MSA1001_Diff"
"802",NA,"Lactobacillus","-93.2905125598606","PC04925-MSA1001_Diff"
"803",NA,"Listeria","-99.9280323134912","PC04925-MSA1001_Diff"
"804",NA,"Neisseria","NA","PC04925-MSA1001_Diff"
"805",NA,"Paenibacillus","NA","PC04925-MSA1001_Diff"
"806",NA,"Parabacteroides","NA","PC04925-MSA1001_Diff"
"807",NA,"Pediococcus","NA","PC04925-MSA1001_Diff"
"808",NA,"Porphyromonadaceae","NA","PC04925-MSA1001_Diff"
"809",NA,"Propionibacterium","NA","PC04925-MSA1001_Diff"
"810",NA,"Pseudomonas","-99.9553919298499","PC04925-MSA1001_Diff"
"811",NA,"Pyramidobacter","NA","PC04925-MSA1001_Diff"
"812",NA,"Ralstonia","NA","PC04925-MSA1001_Diff"
"813",NA,"Rhodobacter","NA","PC04925-MSA1001_Diff"
"814",NA,"Saccharomyces",NA,"PC04925-MSA1001_Diff"
"815",NA,"Salmonella",NA,"PC04925-MSA1001_Diff"
"816",NA,"Staphylococcus","317.966179339323","PC04925-MSA1001_Diff"
"817",NA,"Streptococcus","NA","PC04925-MSA1001_Diff"
"818",NA,"Subdoligranulum","NA","PC04925-MSA1001_Diff"
"819",NA,"[Clostridium] innocuum group","NA","PC04925-MSA1001_Diff"
"820",NA,"[Eubacterium] coprostanoligenes group","NA","PC04925-MSA1001_Diff"
"821",NA,"[Eubacterium] eligens group","NA","PC04925-MSA1001_Diff"
"822",NA,"[Eubacterium] hallii group","NA","PC04925-MSA1001_Diff"
"823",NA,"[Eubacterium] rectale group","NA","PC04925-MSA1001_Diff"
"824",NA,"[Eubacterium] ventriosum group","NA","PC04925-MSA1001_Diff"
"825",NA,"[Eubacterium] xylanophilum group","NA","PC04925-MSA1001_Diff"
"826",NA,"[Ruminococcus] gauvreauii group","NA","PC04925-MSA1001_Diff"
"827",NA,"[Ruminococcus] torques group","NA","PC04925-MSA1001_Diff"
"828",NA,"Adlercreutzia","NA","PC04925-MSA1001_Diff"
"829",NA,"Akkermansia","NA","PC04925-MSA1001_Diff"
"830",NA,"Ambiguous_taxa","NA","PC04925-MSA1001_Diff"
"831",NA,"Anaerofilum","NA","PC04925-MSA1001_Diff"
"832",NA,"Anaerotruncus","NA","PC04925-MSA1001_Diff"
"833",NA,"Blautia","NA","PC04925-MSA1001_Diff"
"834",NA,"Butyricicoccus","NA","PC04925-MSA1001_Diff"
"835",NA,"Candidatus Stoquefichus","NA","PC04925-MSA1001_Diff"
"836",NA,"Carnobacterium","NA","PC04925-MSA1001_Diff"
"837",NA,"Christensenellaceae R-7 group","NA","PC04925-MSA1001_Diff"
"838",NA,"Clostridium sensu stricto 1","NA","PC04925-MSA1001_Diff"
"839",NA,"Coprococcus 1","NA","PC04925-MSA1001_Diff"
"840",NA,"Coprococcus 2","NA","PC04925-MSA1001_Diff"
"841",NA,"Coprococcus 3","NA","PC04925-MSA1001_Diff"
"842",NA,"Defluviitaleaceae UCG-011","NA","PC04925-MSA1001_Diff"
"843",NA,"Dialister","NA","PC04925-MSA1001_Diff"
"844",NA,"Dorea","NA","PC04925-MSA1001_Diff"
"845",NA,"Eisenbergiella","NA","PC04925-MSA1001_Diff"
"846",NA,"Enterobacter","NA","PC04925-MSA1001_Diff"
"847",NA,"Erwinia","NA","PC04925-MSA1001_Diff"
"848",NA,"Erysipelatoclostridium","NA","PC04925-MSA1001_Diff"
"849",NA,"Erysipelotrichaceae UCG-003","NA","PC04925-MSA1001_Diff"
"850",NA,"Faecalibacterium","NA","PC04925-MSA1001_Diff"
"851",NA,"Family XIII AD3011 group","NA","PC04925-MSA1001_Diff"
"852",NA,"Flavonifractor","NA","PC04925-MSA1001_Diff"
"853",NA,"Fusicatenibacter","NA","PC04925-MSA1001_Diff"
"854",NA,"Gordonibacter","NA","PC04925-MSA1001_Diff"
"855",NA,"Gossypium arboreum","NA","PC04925-MSA1001_Diff"
"856",NA,"Holdemania","NA","PC04925-MSA1001_Diff"
"857",NA,"Hungatella","NA","PC04925-MSA1001_Diff"
"858",NA,"Intestinibacter","NA","PC04925-MSA1001_Diff"
"859",NA,"Intestinimonas","NA","PC04925-MSA1001_Diff"
"860",NA,"Kluyvera","NA","PC04925-MSA1001_Diff"
"861",NA,"Lachnospira","NA","PC04925-MSA1001_Diff"
"862",NA,"Lachnospiraceae FCS020 group","NA","PC04925-MSA1001_Diff"
"863",NA,"Lachnospiraceae ND3007 group","NA","PC04925-MSA1001_Diff"
"864",NA,"Lachnospiraceae NK4A136 group","NA","PC04925-MSA1001_Diff"
"865",NA,"Lachnospiraceae UCG-001","NA","PC04925-MSA1001_Diff"
"866",NA,"Lachnospiraceae UCG-004","NA","PC04925-MSA1001_Diff"
"867",NA,"Lachnospiraceae UCG-008","NA","PC04925-MSA1001_Diff"
"868",NA,"Lactonifactor","NA","PC04925-MSA1001_Diff"
"869",NA,"Marvinbryantia","NA","PC04925-MSA1001_Diff"
"870",NA,"Odoribacter","NA","PC04925-MSA1001_Diff"
"871",NA,"Oryza sativa Indica Group (long-grained rice)","NA","PC04925-MSA1001_Diff"
"872",NA,"Other","NA","PC04925-MSA1001_Diff"
"873",NA,"Oxalobacter","NA","PC04925-MSA1001_Diff"
"874",NA,"Parasutterella","NA","PC04925-MSA1001_Diff"
"875",NA,"Phascolarctobacterium","NA","PC04925-MSA1001_Diff"
"876",NA,"Porphyromonas","NA","PC04925-MSA1001_Diff"
"877",NA,"Raoultella","NA","PC04925-MSA1001_Diff"
"878",NA,"Roseburia","NA","PC04925-MSA1001_Diff"
"879",NA,"Ruminiclostridium","NA","PC04925-MSA1001_Diff"
"880",NA,"Ruminiclostridium 5","NA","PC04925-MSA1001_Diff"
"881",NA,"Ruminiclostridium 9","NA","PC04925-MSA1001_Diff"
"882",NA,"Ruminococcaceae NK4A214 group","NA","PC04925-MSA1001_Diff"
"883",NA,"Ruminococcaceae UCG-002","NA","PC04925-MSA1001_Diff"
"884",NA,"Ruminococcaceae UCG-003","NA","PC04925-MSA1001_Diff"
"885",NA,"Ruminococcaceae UCG-004","NA","PC04925-MSA1001_Diff"
"886",NA,"Ruminococcaceae UCG-005","NA","PC04925-MSA1001_Diff"
"887",NA,"Ruminococcaceae UCG-013","NA","PC04925-MSA1001_Diff"
"888",NA,"Ruminococcaceae UCG-014","NA","PC04925-MSA1001_Diff"
"889",NA,"Ruminococcus 1","NA","PC04925-MSA1001_Diff"
"890",NA,"Ruminococcus 2","NA","PC04925-MSA1001_Diff"
"891",NA,"Sellimonas","NA","PC04925-MSA1001_Diff"
"892",NA,"Serratia","NA","PC04925-MSA1001_Diff"
"893",NA,"Succiniclasticum","NA","PC04925-MSA1001_Diff"
"894",NA,"Tyzzerella","NA","PC04925-MSA1001_Diff"
"895",NA,"Tyzzerella 3","NA","PC04925-MSA1001_Diff"
"896",NA,"Acinetobacter","NA","PC04925-MSA1002_Diff"
"897",NA,"Actinomyces","NA","PC04925-MSA1002_Diff"
"898",NA,"Alistipes","NA","PC04925-MSA1002_Diff"
"899",NA,"Anaerostipes","NA","PC04925-MSA1002_Diff"
"900",NA,"Bacillus","-99.9069917769105","PC04925-MSA1002_Diff"
"901",NA,"Bacteroides","NA","PC04925-MSA1002_Diff"
"902",NA,"Bifidobacterium","NA","PC04925-MSA1002_Diff"
"903",NA,"Bilophila","NA","PC04925-MSA1002_Diff"
"904",NA,"Clostridium","NA","PC04925-MSA1002_Diff"
"905",NA,"Lachnoclostridium","NA","PC04925-MSA1002_Diff"
"906",NA,"Collinsella","NA","PC04925-MSA1002_Diff"
"907",NA,"Coprobacillus","NA","PC04925-MSA1002_Diff"
"908",NA,"Cryptococcus",NA,"PC04925-MSA1002_Diff"
"909",NA,"Deinococcus","NA","PC04925-MSA1002_Diff"
"910",NA,"Enterococcus","-79.9060935132822","PC04925-MSA1002_Diff"
"911",NA,"Escherichia-Shigella","-69.5027239181991","PC04925-MSA1002_Diff"
"912",NA,"Fusobacterium","NA","PC04925-MSA1002_Diff"
"913",NA,"Helicobacter","NA","PC04925-MSA1002_Diff"
"914",NA,"Lactobacillus","-67.77265069948","PC04925-MSA1002_Diff"
"915",NA,"Listeria","-99.930941394356","PC04925-MSA1002_Diff"
"916",NA,"Neisseria","NA","PC04925-MSA1002_Diff"
"917",NA,"Paenibacillus","NA","PC04925-MSA1002_Diff"
"918",NA,"Parabacteroides","NA","PC04925-MSA1002_Diff"
"919",NA,"Pediococcus","NA","PC04925-MSA1002_Diff"
"920",NA,"Porphyromonadaceae","NA","PC04925-MSA1002_Diff"
"921",NA,"Propionibacterium","NA","PC04925-MSA1002_Diff"
"922",NA,"Pseudomonas","-91.7503243445594","PC04925-MSA1002_Diff"
"923",NA,"Pyramidobacter","NA","PC04925-MSA1002_Diff"
"924",NA,"Ralstonia","NA","PC04925-MSA1002_Diff"
"925",NA,"Rhodobacter","NA","PC04925-MSA1002_Diff"
"926",NA,"Saccharomyces",NA,"PC04925-MSA1002_Diff"
"927",NA,"Salmonella",NA,"PC04925-MSA1002_Diff"
"928",NA,"Staphylococcus","-18.3852842389428","PC04925-MSA1002_Diff"
"929",NA,"Streptococcus","NA","PC04925-MSA1002_Diff"
"930",NA,"Subdoligranulum","NA","PC04925-MSA1002_Diff"
"931",NA,"[Clostridium] innocuum group","NA","PC04925-MSA1002_Diff"
"932",NA,"[Eubacterium] coprostanoligenes group","NA","PC04925-MSA1002_Diff"
"933",NA,"[Eubacterium] eligens group","NA","PC04925-MSA1002_Diff"
"934",NA,"[Eubacterium] hallii group","NA","PC04925-MSA1002_Diff"
"935",NA,"[Eubacterium] rectale group","NA","PC04925-MSA1002_Diff"
"936",NA,"[Eubacterium] ventriosum group","NA","PC04925-MSA1002_Diff"
"937",NA,"[Eubacterium] xylanophilum group","NA","PC04925-MSA1002_Diff"
"938",NA,"[Ruminococcus] gauvreauii group","NA","PC04925-MSA1002_Diff"
"939",NA,"[Ruminococcus] torques group","NA","PC04925-MSA1002_Diff"
"940",NA,"Adlercreutzia","NA","PC04925-MSA1002_Diff"
"941",NA,"Akkermansia","NA","PC04925-MSA1002_Diff"
"942",NA,"Ambiguous_taxa","NA","PC04925-MSA1002_Diff"
"943",NA,"Anaerofilum","NA","PC04925-MSA1002_Diff"
"944",NA,"Anaerotruncus","NA","PC04925-MSA1002_Diff"
"945",NA,"Blautia","NA","PC04925-MSA1002_Diff"
"946",NA,"Butyricicoccus","NA","PC04925-MSA1002_Diff"
"947",NA,"Candidatus Stoquefichus","NA","PC04925-MSA1002_Diff"
"948",NA,"Carnobacterium","NA","PC04925-MSA1002_Diff"
"949",NA,"Christensenellaceae R-7 group","NA","PC04925-MSA1002_Diff"
"950",NA,"Clostridium sensu stricto 1","NA","PC04925-MSA1002_Diff"
"951",NA,"Coprococcus 1","NA","PC04925-MSA1002_Diff"
"952",NA,"Coprococcus 2","NA","PC04925-MSA1002_Diff"
"953",NA,"Coprococcus 3","NA","PC04925-MSA1002_Diff"
"954",NA,"Defluviitaleaceae UCG-011","NA","PC04925-MSA1002_Diff"
"955",NA,"Dialister","NA","PC04925-MSA1002_Diff"
"956",NA,"Dorea","NA","PC04925-MSA1002_Diff"
"957",NA,"Eisenbergiella","NA","PC04925-MSA1002_Diff"
"958",NA,"Enterobacter","NA","PC04925-MSA1002_Diff"
"959",NA,"Erwinia","NA","PC04925-MSA1002_Diff"
"960",NA,"Erysipelatoclostridium","NA","PC04925-MSA1002_Diff"
"961",NA,"Erysipelotrichaceae UCG-003","NA","PC04925-MSA1002_Diff"
"962",NA,"Faecalibacterium","NA","PC04925-MSA1002_Diff"
"963",NA,"Family XIII AD3011 group","NA","PC04925-MSA1002_Diff"
"964",NA,"Flavonifractor","NA","PC04925-MSA1002_Diff"
"965",NA,"Fusicatenibacter","NA","PC04925-MSA1002_Diff"
"966",NA,"Gordonibacter","NA","PC04925-MSA1002_Diff"
"967",NA,"Gossypium arboreum","NA","PC04925-MSA1002_Diff"
"968",NA,"Holdemania","NA","PC04925-MSA1002_Diff"
"969",NA,"Hungatella","NA","PC04925-MSA1002_Diff"
"970",NA,"Intestinibacter","NA","PC04925-MSA1002_Diff"
"971",NA,"Intestinimonas","NA","PC04925-MSA1002_Diff"
"972",NA,"Kluyvera","NA","PC04925-MSA1002_Diff"
"973",NA,"Lachnospira","NA","PC04925-MSA1002_Diff"
"974",NA,"Lachnospiraceae FCS020 group","NA","PC04925-MSA1002_Diff"
"975",NA,"Lachnospiraceae ND3007 group","NA","PC04925-MSA1002_Diff"
"976",NA,"Lachnospiraceae NK4A136 group","NA","PC04925-MSA1002_Diff"
"977",NA,"Lachnospiraceae UCG-001","NA","PC04925-MSA1002_Diff"
"978",NA,"Lachnospiraceae UCG-004","NA","PC04925-MSA1002_Diff"
"979",NA,"Lachnospiraceae UCG-008","NA","PC04925-MSA1002_Diff"
"980",NA,"Lactonifactor","NA","PC04925-MSA1002_Diff"
"981",NA,"Marvinbryantia","NA","PC04925-MSA1002_Diff"
"982",NA,"Odoribacter","NA","PC04925-MSA1002_Diff"
"983",NA,"Oryza sativa Indica Group (long-grained rice)","NA","PC04925-MSA1002_Diff"
"984",NA,"Other","NA","PC04925-MSA1002_Diff"
"985",NA,"Oxalobacter","NA","PC04925-MSA1002_Diff"
"986",NA,"Parasutterella","NA","PC04925-MSA1002_Diff"
"987",NA,"Phascolarctobacterium","NA","PC04925-MSA1002_Diff"
"988",NA,"Porphyromonas","NA","PC04925-MSA1002_Diff"
"989",NA,"Raoultella","NA","PC04925-MSA1002_Diff"
"990",NA,"Roseburia","NA","PC04925-MSA1002_Diff"
"991",NA,"Ruminiclostridium","NA","PC04925-MSA1002_Diff"
"992",NA,"Ruminiclostridium 5","NA","PC04925-MSA1002_Diff"
"993",NA,"Ruminiclostridium 9","NA","PC04925-MSA1002_Diff"
"994",NA,"Ruminococcaceae NK4A214 group","NA","PC04925-MSA1002_Diff"
"995",NA,"Ruminococcaceae UCG-002","NA","PC04925-MSA1002_Diff"
"996",NA,"Ruminococcaceae UCG-003","NA","PC04925-MSA1002_Diff"
"997",NA,"Ruminococcaceae UCG-004","NA","PC04925-MSA1002_Diff"
"998",NA,"Ruminococcaceae UCG-005","NA","PC04925-MSA1002_Diff"
"999",NA,"Ruminococcaceae UCG-013","NA","PC04925-MSA1002_Diff"
"1000",NA,"Ruminococcaceae UCG-014","NA","PC04925-MSA1002_Diff"
"1001",NA,"Ruminococcus 1","NA","PC04925-MSA1002_Diff"
"1002",NA,"Ruminococcus 2","NA","PC04925-MSA1002_Diff"
"1003",NA,"Sellimonas","NA","PC04925-MSA1002_Diff"
"1004",NA,"Serratia","NA","PC04925-MSA1002_Diff"
"1005",NA,"Succiniclasticum","NA","PC04925-MSA1002_Diff"
"1006",NA,"Tyzzerella","NA","PC04925-MSA1002_Diff"
"1007",NA,"Tyzzerella 3","NA","PC04925-MSA1002_Diff"
"1008",NA,"Acinetobacter","NA","PC04925-MSA1003_Diff"
"1009",NA,"Actinomyces","NA","PC04925-MSA1003_Diff"
"1010",NA,"Alistipes","NA","PC04925-MSA1003_Diff"
"1011",NA,"Anaerostipes","NA","PC04925-MSA1003_Diff"
"1012",NA,"Bacillus","-99.8531959247189","PC04925-MSA1003_Diff"
"1013",NA,"Bacteroides","NA","PC04925-MSA1003_Diff"
"1014",NA,"Bifidobacterium","NA","PC04925-MSA1003_Diff"
"1015",NA,"Bilophila","NA","PC04925-MSA1003_Diff"
"1016",NA,"Clostridium","NA","PC04925-MSA1003_Diff"
"1017",NA,"Lachnoclostridium","NA","PC04925-MSA1003_Diff"
"1018",NA,"Collinsella","NA","PC04925-MSA1003_Diff"
"1019",NA,"Coprobacillus","NA","PC04925-MSA1003_Diff"
"1020",NA,"Cryptococcus",NA,"PC04925-MSA1003_Diff"
"1021",NA,"Deinococcus","NA","PC04925-MSA1003_Diff"
"1022",NA,"Enterococcus","-99.7875204173563","PC04925-MSA1003_Diff"
"1023",NA,"Escherichia-Shigella","9.79299612943461","PC04925-MSA1003_Diff"
"1024",NA,"Fusobacterium","NA","PC04925-MSA1003_Diff"
"1025",NA,"Helicobacter","NA","PC04925-MSA1003_Diff"
"1026",NA,"Lactobacillus","21.7250457539368","PC04925-MSA1003_Diff"
"1027",NA,"Listeria","-99.8766845767639","PC04925-MSA1003_Diff"
"1028",NA,"Neisseria","NA","PC04925-MSA1003_Diff"
"1029",NA,"Paenibacillus","NA","PC04925-MSA1003_Diff"
"1030",NA,"Parabacteroides","NA","PC04925-MSA1003_Diff"
"1031",NA,"Pediococcus","NA","PC04925-MSA1003_Diff"
"1032",NA,"Porphyromonadaceae","NA","PC04925-MSA1003_Diff"
"1033",NA,"Propionibacterium","NA","PC04925-MSA1003_Diff"
"1034",NA,"Pseudomonas","-98.0709216553967","PC04925-MSA1003_Diff"
"1035",NA,"Pyramidobacter","NA","PC04925-MSA1003_Diff"
"1036",NA,"Ralstonia","NA","PC04925-MSA1003_Diff"
"1037",NA,"Rhodobacter","NA","PC04925-MSA1003_Diff"
"1038",NA,"Saccharomyces",NA,"PC04925-MSA1003_Diff"
"1039",NA,"Salmonella",NA,"PC04925-MSA1003_Diff"
"1040",NA,"Staphylococcus","46.544344994094","PC04925-MSA1003_Diff"
"1041",NA,"Streptococcus","NA","PC04925-MSA1003_Diff"
"1042",NA,"Subdoligranulum","NA","PC04925-MSA1003_Diff"
"1043",NA,"[Clostridium] innocuum group","NA","PC04925-MSA1003_Diff"
"1044",NA,"[Eubacterium] coprostanoligenes group","NA","PC04925-MSA1003_Diff"
"1045",NA,"[Eubacterium] eligens group","NA","PC04925-MSA1003_Diff"
"1046",NA,"[Eubacterium] hallii group","NA","PC04925-MSA1003_Diff"
"1047",NA,"[Eubacterium] rectale group","NA","PC04925-MSA1003_Diff"
"1048",NA,"[Eubacterium] ventriosum group","NA","PC04925-MSA1003_Diff"
"1049",NA,"[Eubacterium] xylanophilum group","NA","PC04925-MSA1003_Diff"
"1050",NA,"[Ruminococcus] gauvreauii group","NA","PC04925-MSA1003_Diff"
"1051",NA,"[Ruminococcus] torques group","NA","PC04925-MSA1003_Diff"
"1052",NA,"Adlercreutzia","NA","PC04925-MSA1003_Diff"
"1053",NA,"Akkermansia","NA","PC04925-MSA1003_Diff"
"1054",NA,"Ambiguous_taxa","NA","PC04925-MSA1003_Diff"
"1055",NA,"Anaerofilum","NA","PC04925-MSA1003_Diff"
"1056",NA,"Anaerotruncus","NA","PC04925-MSA1003_Diff"
"1057",NA,"Blautia","NA","PC04925-MSA1003_Diff"
"1058",NA,"Butyricicoccus","NA","PC04925-MSA1003_Diff"
"1059",NA,"Candidatus Stoquefichus","NA","PC04925-MSA1003_Diff"
"1060",NA,"Carnobacterium","NA","PC04925-MSA1003_Diff"
"1061",NA,"Christensenellaceae R-7 group","NA","PC04925-MSA1003_Diff"
"1062",NA,"Clostridium sensu stricto 1","NA","PC04925-MSA1003_Diff"
"1063",NA,"Coprococcus 1","NA","PC04925-MSA1003_Diff"
"1064",NA,"Coprococcus 2","NA","PC04925-MSA1003_Diff"
"1065",NA,"Coprococcus 3","NA","PC04925-MSA1003_Diff"
"1066",NA,"Defluviitaleaceae UCG-011","NA","PC04925-MSA1003_Diff"
"1067",NA,"Dialister","NA","PC04925-MSA1003_Diff"
"1068",NA,"Dorea","NA","PC04925-MSA1003_Diff"
"1069",NA,"Eisenbergiella","NA","PC04925-MSA1003_Diff"
"1070",NA,"Enterobacter","NA","PC04925-MSA1003_Diff"
"1071",NA,"Erwinia","NA","PC04925-MSA1003_Diff"
"1072",NA,"Erysipelatoclostridium","NA","PC04925-MSA1003_Diff"
"1073",NA,"Erysipelotrichaceae UCG-003","NA","PC04925-MSA1003_Diff"
"1074",NA,"Faecalibacterium","NA","PC04925-MSA1003_Diff"
"1075",NA,"Family XIII AD3011 group","NA","PC04925-MSA1003_Diff"
"1076",NA,"Flavonifractor","NA","PC04925-MSA1003_Diff"
"1077",NA,"Fusicatenibacter","NA","PC04925-MSA1003_Diff"
"1078",NA,"Gordonibacter","NA","PC04925-MSA1003_Diff"
"1079",NA,"Gossypium arboreum","NA","PC04925-MSA1003_Diff"
"1080",NA,"Holdemania","NA","PC04925-MSA1003_Diff"
"1081",NA,"Hungatella","NA","PC04925-MSA1003_Diff"
"1082",NA,"Intestinibacter","NA","PC04925-MSA1003_Diff"
"1083",NA,"Intestinimonas","NA","PC04925-MSA1003_Diff"
"1084",NA,"Kluyvera","NA","PC04925-MSA1003_Diff"
"1085",NA,"Lachnospira","NA","PC04925-MSA1003_Diff"
"1086",NA,"Lachnospiraceae FCS020 group","NA","PC04925-MSA1003_Diff"
"1087",NA,"Lachnospiraceae ND3007 group","NA","PC04925-MSA1003_Diff"
"1088",NA,"Lachnospiraceae NK4A136 group","NA","PC04925-MSA1003_Diff"
"1089",NA,"Lachnospiraceae UCG-001","NA","PC04925-MSA1003_Diff"
"1090",NA,"Lachnospiraceae UCG-004","NA","PC04925-MSA1003_Diff"
"1091",NA,"Lachnospiraceae UCG-008","NA","PC04925-MSA1003_Diff"
"1092",NA,"Lactonifactor","NA","PC04925-MSA1003_Diff"
"1093",NA,"Marvinbryantia","NA","PC04925-MSA1003_Diff"
"1094",NA,"Odoribacter","NA","PC04925-MSA1003_Diff"
"1095",NA,"Oryza sativa Indica Group (long-grained rice)","NA","PC04925-MSA1003_Diff"
"1096",NA,"Other","NA","PC04925-MSA1003_Diff"
"1097",NA,"Oxalobacter","NA","PC04925-MSA1003_Diff"
"1098",NA,"Parasutterella","NA","PC04925-MSA1003_Diff"
"1099",NA,"Phascolarctobacterium","NA","PC04925-MSA1003_Diff"
"1100",NA,"Porphyromonas","NA","PC04925-MSA1003_Diff"
"1101",NA,"Raoultella","NA","PC04925-MSA1003_Diff"
"1102",NA,"Roseburia","NA","PC04925-MSA1003_Diff"
"1103",NA,"Ruminiclostridium","NA","PC04925-MSA1003_Diff"
"1104",NA,"Ruminiclostridium 5","NA","PC04925-MSA1003_Diff"
"1105",NA,"Ruminiclostridium 9","NA","PC04925-MSA1003_Diff"
"1106",NA,"Ruminococcaceae NK4A214 group","NA","PC04925-MSA1003_Diff"
"1107",NA,"Ruminococcaceae UCG-002","NA","PC04925-MSA1003_Diff"
"1108",NA,"Ruminococcaceae UCG-003","NA","PC04925-MSA1003_Diff"
"1109",NA,"Ruminococcaceae UCG-004","NA","PC04925-MSA1003_Diff"
"1110",NA,"Ruminococcaceae UCG-005","NA","PC04925-MSA1003_Diff"
"1111",NA,"Ruminococcaceae UCG-013","NA","PC04925-MSA1003_Diff"
"1112",NA,"Ruminococcaceae UCG-014","NA","PC04925-MSA1003_Diff"
"1113",NA,"Ruminococcus 1","NA","PC04925-MSA1003_Diff"
"1114",NA,"Ruminococcus 2","NA","PC04925-MSA1003_Diff"
"1115",NA,"Sellimonas","NA","PC04925-MSA1003_Diff"
"1116",NA,"Serratia","NA","PC04925-MSA1003_Diff"
"1117",NA,"Succiniclasticum","NA","PC04925-MSA1003_Diff"
"1118",NA,"Tyzzerella","NA","PC04925-MSA1003_Diff"
"1119",NA,"Tyzzerella 3","NA","PC04925-MSA1003_Diff"
"1120",NA,"Acinetobacter","NA","PC04925-Seq.200_Diff"
"1121",NA,"Actinomyces","NA","PC04925-Seq.200_Diff"
"1122",NA,"Alistipes","NA","PC04925-Seq.200_Diff"
"1123",NA,"Anaerostipes","NA","PC04925-Seq.200_Diff"
"1124",NA,"Bacillus","48.606611861205","PC04925-Seq.200_Diff"
"1125",NA,"Bacteroides","NA","PC04925-Seq.200_Diff"
"1126",NA,"Bifidobacterium","NA","PC04925-Seq.200_Diff"
"1127",NA,"Bilophila","NA","PC04925-Seq.200_Diff"
"1128",NA,"Clostridium","NA","PC04925-Seq.200_Diff"
"1129",NA,"Lachnoclostridium","NA","PC04925-Seq.200_Diff"
"1130",NA,"Collinsella","NA","PC04925-Seq.200_Diff"
"1131",NA,"Coprobacillus","NA","PC04925-Seq.200_Diff"
"1132",NA,"Cryptococcus",NA,"PC04925-Seq.200_Diff"
"1133",NA,"Deinococcus","NA","PC04925-Seq.200_Diff"
"1134",NA,"Enterococcus","-18.889050675209","PC04925-Seq.200_Diff"
"1135",NA,"Escherichia-Shigella","-37.417902561807","PC04925-Seq.200_Diff"
"1136",NA,"Fusobacterium","NA","PC04925-Seq.200_Diff"
"1137",NA,"Helicobacter","NA","PC04925-Seq.200_Diff"
"1138",NA,"Lactobacillus","-35.6246009789317","PC04925-Seq.200_Diff"
"1139",NA,"Listeria","30.9498474852806","PC04925-Seq.200_Diff"
"1140",NA,"Neisseria","NA","PC04925-Seq.200_Diff"
"1141",NA,"Paenibacillus","NA","PC04925-Seq.200_Diff"
"1142",NA,"Parabacteroides","NA","PC04925-Seq.200_Diff"
"1143",NA,"Pediococcus","NA","PC04925-Seq.200_Diff"
"1144",NA,"Porphyromonadaceae","NA","PC04925-Seq.200_Diff"
"1145",NA,"Propionibacterium","NA","PC04925-Seq.200_Diff"
"1146",NA,"Pseudomonas","-62.8606285728691","PC04925-Seq.200_Diff"
"1147",NA,"Pyramidobacter","NA","PC04925-Seq.200_Diff"
"1148",NA,"Ralstonia","NA","PC04925-Seq.200_Diff"
"1149",NA,"Rhodobacter","NA","PC04925-Seq.200_Diff"
"1150",NA,"Saccharomyces",NA,"PC04925-Seq.200_Diff"
