"","Genus","value","Plate","Type","BINF","Expected"
"2631","Porphyromonadaceae",NA,"PC04924","Seq2000","QIIME2",NA
"2632","Propionibacterium",0,"PC04924","Seq2000","QIIME2",NA
"2634","Pyramidobacter",0,"PC04924","Seq2000","QIIME2",NA
"2635","Ralstonia",0,"PC04924","Seq2000","QIIME2",NA
"2636","Rhodobacter",NA,"PC04924","Seq2000","QIIME2",NA
"2639","Streptococcus",0,"PC04924","Seq2000","QIIME2",NA
"2640","Subdoligranulum",0,"PC04924","Seq2000","QIIME2",NA
"2641","Abiotrophia",0,"PC04924","Seq2000","QIIME2",NA
"2642","Acetanaerobacterium",0,"PC04924","Seq2000","QIIME2",NA
"2643","Acidaminococcus",0,"PC04924","Seq2000","QIIME2",NA
"2644","Actinobacillus",0,"PC04924","Seq2000","QIIME2",NA
"2645","Adlercreutzia",0,"PC04924","Seq2000","QIIME2",NA
"2646","Akkermansia",0,"PC04924","Seq2000","QIIME2",NA
"2647","Alcaligenes",0,"PC04924","Seq2000","QIIME2",NA
"2648","Alkanindiges",0,"PC04924","Seq2000","QIIME2",NA
"2649","Alloprevotella",0,"PC04924","Seq2000","QIIME2",NA
"2650","Anaerococcus",0,"PC04924","Seq2000","QIIME2",NA
"2651","Anaerofilum",0,"PC04924","Seq2000","QIIME2",NA
"2652","Anaerofustis",0,"PC04924","Seq2000","QIIME2",NA
"2653","Anaeromyxobacter",0,"PC04924","Seq2000","QIIME2",NA
"2654","Anaerosporobacter",0,"PC04924","Seq2000","QIIME2",NA
"2655","Anaerotruncus",0,"PC04924","Seq2000","QIIME2",NA
"2656","Arthrobacter",0,"PC04924","Seq2000","QIIME2",NA
"2657","Atopobium",0,"PC04924","Seq2000","QIIME2",NA
"2658","Azospirillum",0,"PC04924","Seq2000","QIIME2",NA
"2659","Basidiomycota",0.000635504,"PC04924","Seq2000","QIIME2",NA
"2660","Bergeyella",0,"PC04924","Seq2000","QIIME2",NA
"2661","Blautia",0,"PC04924","Seq2000","QIIME2",NA
"2662","Bradyrhizobium",0,"PC04924","Seq2000","QIIME2",NA
"2663","Brevundimonas",0,"PC04924","Seq2000","QIIME2",NA
"2664","Bryobacter",0,"PC04924","Seq2000","QIIME2",NA
"2665","Butyricimonas",0,"PC04924","Seq2000","QIIME2",NA
"2666","Campylobacter",0,"PC04924","Seq2000","QIIME2",NA
"2667","Candidatus Planktophila",0,"PC04924","Seq2000","QIIME2",NA
"2668","Capnocytophaga",0,"PC04924","Seq2000","QIIME2",NA
"2669","Christensenella",0,"PC04924","Seq2000","QIIME2",NA
"2670","Clostridium sensu stricto 1",0,"PC04924","Seq2000","QIIME2",NA
"2671","Coprococcus",0,"PC04924","Seq2000","QIIME2",NA
"2672","Corynebacterium",0,"PC04924","Seq2000","QIIME2",NA
"2673","Desulfovibrio",0,"PC04924","Seq2000","QIIME2",NA
"2674","Devosia",0,"PC04924","Seq2000","QIIME2",NA
"2675","Dialister",0,"PC04924","Seq2000","QIIME2",NA
"2676","Dolosigranulum",0,"PC04924","Seq2000","QIIME2",NA
"2677","Dorea",0,"PC04924","Seq2000","QIIME2",NA
"2678","Eggerthella",0,"PC04924","Seq2000","QIIME2",NA
"2679","Eggerthia",0,"PC04924","Seq2000","QIIME2",NA
"2680","Enterorhabdus",0,"PC04924","Seq2000","QIIME2",NA
"2681","Faecalibacterium",0,"PC04924","Seq2000","QIIME2",NA
"2682","Finegoldia",0,"PC04924","Seq2000","QIIME2",NA
"2683","Flavonifractor",0,"PC04924","Seq2000","QIIME2",NA
"2684","Gemella",0,"PC04924","Seq2000","QIIME2",NA
"2685","Gordonibacter",0,"PC04924","Seq2000","QIIME2",NA
"2686","Granulicatella",0,"PC04924","Seq2000","QIIME2",NA
"2687","Haemophilus",0,"PC04924","Seq2000","QIIME2",NA
"2688","Holdemania",0,"PC04924","Seq2000","QIIME2",NA
"2689","Incertae Sedis",0,"PC04924","Seq2000","QIIME2",NA
"2690","Intestinimonas",0,"PC04924","Seq2000","QIIME2",NA
"2691","Lachnoanaerobaculum",0,"PC04924","Seq2000","QIIME2",NA
"2692","Lachnospira",0,"PC04924","Seq2000","QIIME2",NA
"2693","Lactococcus",0,"PC04924","Seq2000","QIIME2",NA
"2694","Lautropia",0,"PC04924","Seq2000","QIIME2",NA
"2695","Leptotrichia",0,"PC04924","Seq2000","QIIME2",NA
"2696","Leuconostoc",0,"PC04924","Seq2000","QIIME2",NA
"2697","Lysobacter",0,"PC04924","Seq2000","QIIME2",NA
"2698","Marvinbryantia",0,"PC04924","Seq2000","QIIME2",NA
"2699","Massilia",0,"PC04924","Seq2000","QIIME2",NA
"2700","Megasphaera",0,"PC04924","Seq2000","QIIME2",NA
"2701","Methylobacterium",0,"PC04924","Seq2000","QIIME2",NA
"2702","Mogibacterium",0,"PC04924","Seq2000","QIIME2",NA
"2703","Moraxella",0,"PC04924","Seq2000","QIIME2",NA
"2704","Mycobacterium",0,"PC04924","Seq2000","QIIME2",NA
"2705","Nevskia",0,"PC04924","Seq2000","QIIME2",NA
"2706","Nocardioides",0,"PC04924","Seq2000","QIIME2",NA
"2707","Nosocomiicoccus",0,"PC04924","Seq2000","QIIME2",NA
"2708","Odoribacter",0,"PC04924","Seq2000","QIIME2",NA
"2709","Oribacterium",0,"PC04924","Seq2000","QIIME2",NA
"2710","Oscillibacter",0,"PC04924","Seq2000","QIIME2",NA
"2711","Oscillospira",0,"PC04924","Seq2000","QIIME2",NA
"2712","other",0.162878429,"PC04924","Seq2000","QIIME2",NA
"2713","Papillibacter",0,"PC04924","Seq2000","QIIME2",NA
"2714","Paracoccus",0,"PC04924","Seq2000","QIIME2",NA
"2715","Parasutterella",0,"PC04924","Seq2000","QIIME2",NA
"2716","Pedobacter",0,"PC04924","Seq2000","QIIME2",NA
"2717","Peptoniphilus",0,"PC04924","Seq2000","QIIME2",NA
"2718","Phascolarctobacterium",0,"PC04924","Seq2000","QIIME2",NA
"2719","Phenylobacterium",0,"PC04924","Seq2000","QIIME2",NA
"2720","Porphyromonas",0,"PC04924","Seq2000","QIIME2",NA
"2721","Prevotella",0,"PC04924","Seq2000","QIIME2",NA
"2722","Pseudobutyrivibrio",0,"PC04924","Seq2000","QIIME2",NA
"2723","Rhizobium",0,"PC04924","Seq2000","QIIME2",NA
"2724","Roseburia",0,"PC04924","Seq2000","QIIME2",NA
"2725","Rothia",0,"PC04924","Seq2000","QIIME2",NA
"2726","Rubellimicrobium",0,"PC04924","Seq2000","QIIME2",NA
"2727","Ruminococcus",0,"PC04924","Seq2000","QIIME2",NA
"2728","Salinarimonas",0,"PC04924","Seq2000","QIIME2",NA
"2729","Scardovia",0,"PC04924","Seq2000","QIIME2",NA
"2730","Sediminibacterium",0,"PC04924","Seq2000","QIIME2",NA
"2731","Solobacterium",0,"PC04924","Seq2000","QIIME2",NA
"2732","Sphingomonas",0,"PC04924","Seq2000","QIIME2",NA
"2733","Stomatobaculum",0,"PC04924","Seq2000","QIIME2",NA
"2734","Succiniclasticum",0,"PC04924","Seq2000","QIIME2",NA
"2735","Sutterella",0,"PC04924","Seq2000","QIIME2",NA
"2736","Synergistes",0,"PC04924","Seq2000","QIIME2",NA
"2737","Thalassospira",0,"PC04924","Seq2000","QIIME2",NA
"2738","Treponema",0,"PC04924","Seq2000","QIIME2",NA
"2739","Turicibacter",0,"PC04924","Seq2000","QIIME2",NA
"2740","uncultured",0,"PC04924","Seq2000","QIIME2",NA
"2741","Veillonella",0,"PC04924","Seq2000","QIIME2",NA
"2742","Weissella",0,"PC04924","Seq2000","QIIME2",NA
"3275","Helicobacter",0,"PC04925","Seq200","QIIME2",NA
"3276","Neisseria",0,"PC04925","Seq200","QIIME2",NA
"3277","Paenibacillus",0,"PC04925","Seq200","QIIME2",NA
"3278","Parabacteroides",0,"PC04925","Seq200","QIIME2",NA
"3279","Pediococcus",0,"PC04925","Seq200","QIIME2",NA
"3280","Propionibacterium",0,"PC04925","Seq200","QIIME2",NA
"3282","Pyramidobacter",0,"PC04925","Seq200","QIIME2",NA
"3283","Ralstonia",0,"PC04925","Seq200","QIIME2",NA
"3284","Streptococcus",0,"PC04925","Seq200","QIIME2",NA
"3285","Subdoligranulum",0,"PC04925","Seq200","QIIME2",NA
"3286","Abiotrophia",0,"PC04925","Seq200","QIIME2",NA
"3287","Acetanaerobacterium",0,"PC04925","Seq200","QIIME2",NA
"3288","Acidaminococcus",0,"PC04925","Seq200","QIIME2",NA
"3289","Actinobacillus",0,"PC04925","Seq200","QIIME2",NA
"3290","Adlercreutzia",0,"PC04925","Seq200","QIIME2",NA
"3291","Akkermansia",0,"PC04925","Seq200","QIIME2",NA
"3292","Alcaligenes",0,"PC04925","Seq200","QIIME2",NA
"3293","Alkanindiges",0,"PC04925","Seq200","QIIME2",NA
"3294","Alloprevotella",0,"PC04925","Seq200","QIIME2",NA
"3295","Anaerococcus",0,"PC04925","Seq200","QIIME2",NA
"3296","Anaerofilum",0,"PC04925","Seq200","QIIME2",NA
"3297","Anaerofustis",0,"PC04925","Seq200","QIIME2",NA
"3298","Anaeromyxobacter",0,"PC04925","Seq200","QIIME2",NA
"3299","Anaerosporobacter",0,"PC04925","Seq200","QIIME2",NA
"3300","Anaerotruncus",0,"PC04925","Seq200","QIIME2",NA
"3301","Arthrobacter",0,"PC04925","Seq200","QIIME2",NA
"3302","Atopobium",0,"PC04925","Seq200","QIIME2",NA
"3303","Azospirillum",0,"PC04925","Seq200","QIIME2",NA
"3304","Bergeyella",0,"PC04925","Seq200","QIIME2",NA
"3305","Blautia",0,"PC04925","Seq200","QIIME2",NA
"3306","Bradyrhizobium",0,"PC04925","Seq200","QIIME2",NA
"3307","Brevundimonas",0,"PC04925","Seq200","QIIME2",NA
"3308","Bryobacter",0,"PC04925","Seq200","QIIME2",NA
"3309","Butyricimonas",0,"PC04925","Seq200","QIIME2",NA
"3310","Campylobacter",0,"PC04925","Seq200","QIIME2",NA
"3311","Candidatus Planktophila",0,"PC04925","Seq200","QIIME2",NA
"3312","Capnocytophaga",0,"PC04925","Seq200","QIIME2",NA
"3313","Christensenella",0,"PC04925","Seq200","QIIME2",NA
"3314","Clostridium sensu stricto 1",0,"PC04925","Seq200","QIIME2",NA
"3315","Coprococcus",0,"PC04925","Seq200","QIIME2",NA
"3316","Corynebacterium",0,"PC04925","Seq200","QIIME2",NA
"3317","Desulfovibrio",0,"PC04925","Seq200","QIIME2",NA
"3318","Devosia",0,"PC04925","Seq200","QIIME2",NA
"3319","Dialister",0,"PC04925","Seq200","QIIME2",NA
"3320","Dolosigranulum",0,"PC04925","Seq200","QIIME2",NA
"3321","Dorea",0,"PC04925","Seq200","QIIME2",NA
"3322","Eggerthella",0,"PC04925","Seq200","QIIME2",NA
"3323","Eggerthia",0,"PC04925","Seq200","QIIME2",NA
"3324","Enterorhabdus",0,"PC04925","Seq200","QIIME2",NA
"3325","Faecalibacterium",0,"PC04925","Seq200","QIIME2",NA
"3326","Finegoldia",0,"PC04925","Seq200","QIIME2",NA
"3327","Flavonifractor",0,"PC04925","Seq200","QIIME2",NA
"3328","Gemella",0,"PC04925","Seq200","QIIME2",NA
"3329","Gordonibacter",0,"PC04925","Seq200","QIIME2",NA
"3330","Granulicatella",0,"PC04925","Seq200","QIIME2",NA
"3331","Haemophilus",0,"PC04925","Seq200","QIIME2",NA
"3332","Holdemania",0,"PC04925","Seq200","QIIME2",NA
"3333","Incertae Sedis",0,"PC04925","Seq200","QIIME2",NA
"3334","Intestinimonas",0,"PC04925","Seq200","QIIME2",NA
"3335","Lachnoanaerobaculum",0,"PC04925","Seq200","QIIME2",NA
"3336","Lachnospira",0,"PC04925","Seq200","QIIME2",NA
"3337","Lactococcus",0,"PC04925","Seq200","QIIME2",NA
"3338","Lautropia",0,"PC04925","Seq200","QIIME2",NA
"3339","Leptotrichia",0,"PC04925","Seq200","QIIME2",NA
"3340","Leuconostoc",0,"PC04925","Seq200","QIIME2",NA
"3341","Lysobacter",0,"PC04925","Seq200","QIIME2",NA
"3342","Marvinbryantia",0,"PC04925","Seq200","QIIME2",NA
"3343","Massilia",0,"PC04925","Seq200","QIIME2",NA
"3344","Megasphaera",0,"PC04925","Seq200","QIIME2",NA
"3345","Methylobacterium",0,"PC04925","Seq200","QIIME2",NA
"3346","Mogibacterium",0,"PC04925","Seq200","QIIME2",NA
"3347","Moraxella",0,"PC04925","Seq200","QIIME2",NA
"3348","Mycobacterium",0,"PC04925","Seq200","QIIME2",NA
"3349","Nevskia",0,"PC04925","Seq200","QIIME2",NA
"3350","Nocardioides",0,"PC04925","Seq200","QIIME2",NA
"3351","Nosocomiicoccus",0,"PC04925","Seq200","QIIME2",NA
"3352","Odoribacter",0,"PC04925","Seq200","QIIME2",NA
"3353","Oribacterium",0,"PC04925","Seq200","QIIME2",NA
"3354","Oscillibacter",0,"PC04925","Seq200","QIIME2",NA
"3355","Oscillospira",0,"PC04925","Seq200","QIIME2",NA
"3356","Papillibacter",0,"PC04925","Seq200","QIIME2",NA
"3357","Paracoccus",0,"PC04925","Seq200","QIIME2",NA
"3358","Parasutterella",0,"PC04925","Seq200","QIIME2",NA
"3359","Pedobacter",0,"PC04925","Seq200","QIIME2",NA
"3360","Peptoniphilus",0,"PC04925","Seq200","QIIME2",NA
"3361","Phascolarctobacterium",0,"PC04925","Seq200","QIIME2",NA
"3362","Phenylobacterium",0,"PC04925","Seq200","QIIME2",NA
"3363","Porphyromonas",0,"PC04925","Seq200","QIIME2",NA
"3364","Prevotella",0,"PC04925","Seq200","QIIME2",NA
"3365","Pseudobutyrivibrio",0,"PC04925","Seq200","QIIME2",NA
"3366","Rhizobium",0,"PC04925","Seq200","QIIME2",NA
"3367","Roseburia",0,"PC04925","Seq200","QIIME2",NA
"3368","Rothia",0,"PC04925","Seq200","QIIME2",NA
"3369","Rubellimicrobium",0,"PC04925","Seq200","QIIME2",NA
"3370","Ruminococcus",0,"PC04925","Seq200","QIIME2",NA
"3371","Salinarimonas",0,"PC04925","Seq200","QIIME2",NA
"3372","Scardovia",0,"PC04925","Seq200","QIIME2",NA
"3373","Sediminibacterium",0,"PC04925","Seq200","QIIME2",NA
"3374","Solobacterium",0,"PC04925","Seq200","QIIME2",NA
"3375","Sphingomonas",0,"PC04925","Seq200","QIIME2",NA
"3376","Stomatobaculum",0,"PC04925","Seq200","QIIME2",NA
"3377","Succiniclasticum",0,"PC04925","Seq200","QIIME2",NA
"3378","Sutterella",0,"PC04925","Seq200","QIIME2",NA
"3379","Synergistes",0,"PC04925","Seq200","QIIME2",NA
"3380","Thalassospira",0,"PC04925","Seq200","QIIME2",NA
"3381","Treponema",0,"PC04925","Seq200","QIIME2",NA
"3382","Turicibacter",0,"PC04925","Seq200","QIIME2",NA
"3383","uncultured",0,"PC04925","Seq200","QIIME2",NA
"3384","Veillonella",0,"PC04925","Seq200","QIIME2",NA
"3385","Weissella",0,"PC04925","Seq200","QIIME2",NA
"3386","Acinetobacter",0,"PC07578","Seq200","QIIME2",NA
"3387","Actinomyces",0,"PC07578","Seq200","QIIME2",NA
"3388","Alistipes",0,"PC07578","Seq200","QIIME2",NA
"3389","Anaerostipes",0,"PC07578","Seq200","QIIME2",NA
"3390","Bacteroides",0,"PC07578","Seq200","QIIME2",NA
"3391","Bifidobacterium",0,"PC07578","Seq200","QIIME2",NA
"3392","Bilophila",0,"PC07578","Seq200","QIIME2",NA
"3393","Collinsella",0,"PC07578","Seq200","QIIME2",NA
"3394","Coprobacillus",0,"PC07578","Seq200","QIIME2",NA
"3395","Deinococcus",0,"PC07578","Seq200","QIIME2",NA
"3396","Fusobacterium",0,"PC07578","Seq200","QIIME2",NA
"3397","Helicobacter",0,"PC07578","Seq200","QIIME2",NA
"3398","Neisseria",0,"PC07578","Seq200","QIIME2",NA
"3399","Paenibacillus",0,"PC07578","Seq200","QIIME2",NA
"3400","Parabacteroides",0,"PC07578","Seq200","QIIME2",NA
"3401","Pediococcus",0,"PC07578","Seq200","QIIME2",NA
"3402","Propionibacterium",0,"PC07578","Seq200","QIIME2",NA
"3404","Pyramidobacter",0,"PC07578","Seq200","QIIME2",NA
"3405","Ralstonia",0,"PC07578","Seq200","QIIME2",NA
"3406","Streptococcus",0,"PC07578","Seq200","QIIME2",NA
"3407","Subdoligranulum",0,"PC07578","Seq200","QIIME2",NA
"3408","Acinetobacter",0,"PC04925","Seq2000","QIIME2",NA
"3409","Actinomyces",0,"PC04925","Seq2000","QIIME2",NA
"3410","Alistipes",8.75e-05,"PC04925","Seq2000","QIIME2",NA
"3411","Anaerostipes",0,"PC04925","Seq2000","QIIME2",NA
"3412","Bacteroides",0.000349918,"PC04925","Seq2000","QIIME2",NA
"3413","Bifidobacterium",0,"PC04925","Seq2000","QIIME2",NA
"3414","Bilophila",0,"PC04925","Seq2000","QIIME2",NA
"3415","Clostridium",NA,"PC04925","Seq2000","QIIME2",NA
"3416","Lachnoclostridium",NA,"PC04925","Seq2000","QIIME2",NA
"3417","Collinsella",0,"PC04925","Seq2000","QIIME2",NA
"3418","Coprobacillus",0,"PC04925","Seq2000","QIIME2",NA
"3420","Deinococcus",0,"PC04925","Seq2000","QIIME2",NA
"3422","Fusobacterium",0,"PC04925","Seq2000","QIIME2",NA
"3423","Helicobacter",0,"PC04925","Seq2000","QIIME2",NA
"3425","Neisseria",0,"PC04925","Seq2000","QIIME2",NA
"3426","Paenibacillus",0,"PC04925","Seq2000","QIIME2",NA
"3427","Parabacteroides",0,"PC04925","Seq2000","QIIME2",NA
"3428","Pediococcus",0,"PC04925","Seq2000","QIIME2",NA
"3429","Porphyromonadaceae",NA,"PC04925","Seq2000","QIIME2",NA
"3430","Propionibacterium",0,"PC04925","Seq2000","QIIME2",NA
"3432","Pyramidobacter",0,"PC04925","Seq2000","QIIME2",NA
"3433","Ralstonia",0,"PC04925","Seq2000","QIIME2",NA
"3434","Rhodobacter",NA,"PC04925","Seq2000","QIIME2",NA
"3437","Streptococcus",0,"PC04925","Seq2000","QIIME2",NA
"3438","Subdoligranulum",0.000481137,"PC04925","Seq2000","QIIME2",NA
"3439","Abiotrophia",0,"PC04925","Seq2000","QIIME2",NA
"3440","Acetanaerobacterium",0,"PC04925","Seq2000","QIIME2",NA
"3441","Acidaminococcus",0,"PC04925","Seq2000","QIIME2",NA
"3442","Actinobacillus",0,"PC04925","Seq2000","QIIME2",NA
"3443","Adlercreutzia",0,"PC04925","Seq2000","QIIME2",NA
"3444","Akkermansia",0.000251504,"PC04925","Seq2000","QIIME2",NA
"3445","Alcaligenes",0,"PC04925","Seq2000","QIIME2",NA
"3446","Alkanindiges",0,"PC04925","Seq2000","QIIME2",NA
"3447","Alloprevotella",0,"PC04925","Seq2000","QIIME2",NA
"3448","Anaerococcus",0,"PC04925","Seq2000","QIIME2",NA
"3449","Anaerofilum",0,"PC04925","Seq2000","QIIME2",NA
"3450","Anaerofustis",0,"PC04925","Seq2000","QIIME2",NA
"3451","Anaeromyxobacter",0,"PC04925","Seq2000","QIIME2",NA
"3452","Anaerosporobacter",0,"PC04925","Seq2000","QIIME2",NA
"3453","Anaerotruncus",0,"PC04925","Seq2000","QIIME2",NA
"3454","Arthrobacter",0,"PC04925","Seq2000","QIIME2",NA
"3455","Atopobium",0,"PC04925","Seq2000","QIIME2",NA
"3456","Azospirillum",0,"PC04925","Seq2000","QIIME2",NA
"3457","Basidiomycota",0.001399672,"PC04925","Seq2000","QIIME2",NA
"3458","Bergeyella",0,"PC04925","Seq2000","QIIME2",NA
"3459","Blautia",0,"PC04925","Seq2000","QIIME2",NA
"3460","Bradyrhizobium",0,"PC04925","Seq2000","QIIME2",NA
"3461","Brevundimonas",0,"PC04925","Seq2000","QIIME2",NA
"3462","Bryobacter",0,"PC04925","Seq2000","QIIME2",NA
"3463","Butyricimonas",0,"PC04925","Seq2000","QIIME2",NA
"3464","Campylobacter",0,"PC04925","Seq2000","QIIME2",NA
"3465","Candidatus Planktophila",0,"PC04925","Seq2000","QIIME2",NA
"3466","Capnocytophaga",0,"PC04925","Seq2000","QIIME2",NA
"3467","Christensenella",0,"PC04925","Seq2000","QIIME2",NA
"3468","Clostridium sensu stricto 1",0,"PC04925","Seq2000","QIIME2",NA
"3469","Coprococcus",0.000174959,"PC04925","Seq2000","QIIME2",NA
"3470","Corynebacterium",0,"PC04925","Seq2000","QIIME2",NA
"3471","Desulfovibrio",0,"PC04925","Seq2000","QIIME2",NA
"3472","Devosia",0,"PC04925","Seq2000","QIIME2",NA
"3473","Dialister",3.28e-05,"PC04925","Seq2000","QIIME2",NA
"3474","Dolosigranulum",0,"PC04925","Seq2000","QIIME2",NA
"3475","Dorea",0.000109349,"PC04925","Seq2000","QIIME2",NA
"3476","Eggerthella",0,"PC04925","Seq2000","QIIME2",NA
"3477","Eggerthia",0,"PC04925","Seq2000","QIIME2",NA
"3478","Enterorhabdus",0,"PC04925","Seq2000","QIIME2",NA
"3479","Faecalibacterium",0.000721706,"PC04925","Seq2000","QIIME2",NA
"3480","Finegoldia",0,"PC04925","Seq2000","QIIME2",NA
"3481","Flavonifractor",0,"PC04925","Seq2000","QIIME2",NA
"3482","Gemella",0,"PC04925","Seq2000","QIIME2",NA
"3483","Gordonibacter",0,"PC04925","Seq2000","QIIME2",NA
"3484","Granulicatella",0,"PC04925","Seq2000","QIIME2",NA
"3485","Haemophilus",0,"PC04925","Seq2000","QIIME2",NA
"3486","Holdemania",0,"PC04925","Seq2000","QIIME2",NA
"3487","Incertae Sedis",9.84e-05,"PC04925","Seq2000","QIIME2",NA
"3488","Intestinimonas",0,"PC04925","Seq2000","QIIME2",NA
"3489","Lachnoanaerobaculum",0,"PC04925","Seq2000","QIIME2",NA
"3490","Lachnospira",0,"PC04925","Seq2000","QIIME2",NA
"3491","Lactococcus",0,"PC04925","Seq2000","QIIME2",NA
"3492","Lautropia",0,"PC04925","Seq2000","QIIME2",NA
"3493","Leptotrichia",0,"PC04925","Seq2000","QIIME2",NA
"3494","Leuconostoc",0,"PC04925","Seq2000","QIIME2",NA
"3495","Lysobacter",0,"PC04925","Seq2000","QIIME2",NA
"3496","Marvinbryantia",0,"PC04925","Seq2000","QIIME2",NA
"3497","Massilia",0,"PC04925","Seq2000","QIIME2",NA
"3498","Megasphaera",0,"PC04925","Seq2000","QIIME2",NA
"3499","Methylobacterium",0,"PC04925","Seq2000","QIIME2",NA
"3500","Mogibacterium",0,"PC04925","Seq2000","QIIME2",NA
"3501","Moraxella",0,"PC04925","Seq2000","QIIME2",NA
"3502","Mycobacterium",0,"PC04925","Seq2000","QIIME2",NA
"3503","Nevskia",0,"PC04925","Seq2000","QIIME2",NA
"3504","Nocardioides",0,"PC04925","Seq2000","QIIME2",NA
"3505","Nosocomiicoccus",0,"PC04925","Seq2000","QIIME2",NA
"3506","Odoribacter",0,"PC04925","Seq2000","QIIME2",NA
"3507","Oribacterium",0,"PC04925","Seq2000","QIIME2",NA
"3508","Oscillibacter",0,"PC04925","Seq2000","QIIME2",NA
"3509","Oscillospira",0,"PC04925","Seq2000","QIIME2",NA
"3510","other",0.161651176,"PC04925","Seq2000","QIIME2",NA
"3511","Papillibacter",0,"PC04925","Seq2000","QIIME2",NA
"3512","Paracoccus",0,"PC04925","Seq2000","QIIME2",NA
"3513","Parasutterella",0,"PC04925","Seq2000","QIIME2",NA
"3514","Pedobacter",0,"PC04925","Seq2000","QIIME2",NA
"3515","Peptoniphilus",0,"PC04925","Seq2000","QIIME2",NA
"3516","Phascolarctobacterium",0,"PC04925","Seq2000","QIIME2",NA
"3517","Phenylobacterium",0,"PC04925","Seq2000","QIIME2",NA
"3518","Porphyromonas",0,"PC04925","Seq2000","QIIME2",NA
"3519","Prevotella",0,"PC04925","Seq2000","QIIME2",NA
"3520","Pseudobutyrivibrio",0.000623291,"PC04925","Seq2000","QIIME2",NA
"3521","Rhizobium",0,"PC04925","Seq2000","QIIME2",NA
"3522","Roseburia",0,"PC04925","Seq2000","QIIME2",NA
"3523","Rothia",0,"PC04925","Seq2000","QIIME2",NA
"3524","Rubellimicrobium",0,"PC04925","Seq2000","QIIME2",NA
"3525","Ruminococcus",0.000699836,"PC04925","Seq2000","QIIME2",NA
"3526","Salinarimonas",0,"PC04925","Seq2000","QIIME2",NA
"3527","Scardovia",0,"PC04925","Seq2000","QIIME2",NA
"3528","Sediminibacterium",0,"PC04925","Seq2000","QIIME2",NA
"3529","Solobacterium",0,"PC04925","Seq2000","QIIME2",NA
"3530","Sphingomonas",0,"PC04925","Seq2000","QIIME2",NA
"3531","Stomatobaculum",0,"PC04925","Seq2000","QIIME2",NA
"3532","Succiniclasticum",0,"PC04925","Seq2000","QIIME2",NA
"3533","Sutterella",0,"PC04925","Seq2000","QIIME2",NA
"3534","Synergistes",0,"PC04925","Seq2000","QIIME2",NA
"3535","Thalassospira",0,"PC04925","Seq2000","QIIME2",NA
"3536","Treponema",0,"PC04925","Seq2000","QIIME2",NA
"3537","Turicibacter",0,"PC04925","Seq2000","QIIME2",NA
"3538","uncultured",0.000535812,"PC04925","Seq2000","QIIME2",NA
"3539","Veillonella",0,"PC04925","Seq2000","QIIME2",NA
"3540","Weissella",0,"PC04925","Seq2000","QIIME2",NA
"4073","Abiotrophia",0,"PC07578","Seq200","QIIME2",NA
"4074","Acetanaerobacterium",0,"PC07578","Seq200","QIIME2",NA
"4075","Acidaminococcus",0,"PC07578","Seq200","QIIME2",NA
"4076","Actinobacillus",0,"PC07578","Seq200","QIIME2",NA
"4077","Adlercreutzia",0,"PC07578","Seq200","QIIME2",NA
"4078","Akkermansia",0,"PC07578","Seq200","QIIME2",NA
"4079","Alcaligenes",0,"PC07578","Seq200","QIIME2",NA
"4080","Alkanindiges",0,"PC07578","Seq200","QIIME2",NA
"4081","Alloprevotella",0,"PC07578","Seq200","QIIME2",NA
"4082","Anaerococcus",0,"PC07578","Seq200","QIIME2",NA
"4083","Anaerofilum",0,"PC07578","Seq200","QIIME2",NA
"4084","Anaerofustis",0,"PC07578","Seq200","QIIME2",NA
"4085","Anaeromyxobacter",0,"PC07578","Seq200","QIIME2",NA
"4086","Anaerosporobacter",0,"PC07578","Seq200","QIIME2",NA
"4087","Anaerotruncus",0,"PC07578","Seq200","QIIME2",NA
"4088","Arthrobacter",0,"PC07578","Seq200","QIIME2",NA
"4089","Atopobium",0,"PC07578","Seq200","QIIME2",NA
"4090","Azospirillum",0,"PC07578","Seq200","QIIME2",NA
"4091","Bergeyella",0,"PC07578","Seq200","QIIME2",NA
"4092","Blautia",0,"PC07578","Seq200","QIIME2",NA
"4093","Bradyrhizobium",0,"PC07578","Seq200","QIIME2",NA
"4094","Brevundimonas",0,"PC07578","Seq200","QIIME2",NA
"4095","Bryobacter",0,"PC07578","Seq200","QIIME2",NA
"4096","Butyricimonas",0,"PC07578","Seq200","QIIME2",NA
"4097","Campylobacter",0,"PC07578","Seq200","QIIME2",NA
"4098","Candidatus Planktophila",0,"PC07578","Seq200","QIIME2",NA
"4099","Capnocytophaga",0,"PC07578","Seq200","QIIME2",NA
"4100","Christensenella",0,"PC07578","Seq200","QIIME2",NA
"4101","Clostridium sensu stricto 1",0,"PC07578","Seq200","QIIME2",NA
"4102","Coprococcus",0,"PC07578","Seq200","QIIME2",NA
"4103","Corynebacterium",0,"PC07578","Seq200","QIIME2",NA
"4104","Desulfovibrio",0,"PC07578","Seq200","QIIME2",NA
"4105","Devosia",0,"PC07578","Seq200","QIIME2",NA
"4106","Dialister",0,"PC07578","Seq200","QIIME2",NA
"4107","Dolosigranulum",0,"PC07578","Seq200","QIIME2",NA
"4108","Dorea",0,"PC07578","Seq200","QIIME2",NA
"4109","Eggerthella",0,"PC07578","Seq200","QIIME2",NA
"4110","Eggerthia",0,"PC07578","Seq200","QIIME2",NA
